carat,cut,colour,clarity,depth_percentage,table,x_width,y_width,z_width,price
0.56,Ideal,E,SI1,61.6,55,5.31,5.33,3.28,1649
0.7,Premium,G,IF,60,59,5.75,5.79,3.46,3447
0.76,Ideal,E,SI1,62.7,54,5.88,5.83,3.67,2858
0.72,Good,E,SI1,63.7,58,5.71,5.66,3.62,2361
0.52,Ideal,G,VVS2,62.1,57,5.17,5.13,3.2,2012
0.58,Ideal,F,VVS1,61.7,55,5.36,5.39,3.31,3090
0.37,Good,G,SI2,63.4,57,4.55,4.57,2.89,487
0.71,VeryGood,H,IF,60.2,61,5.76,5.8,3.48,3444
1.14,VeryGood,D,SI1,62.7,59,6.64,6.67,4.17,6464
0.9,Premium,D,VS2,63,62,6.13,6.06,3.84,4586
0.7,VeryGood,F,SI2,61.2,57,5.67,5.74,3.49,2100
0.41,Ideal,F,VVS1,62.3,53,4.77,4.8,2.98,1295
0.42,Ideal,J,VS1,60.9,57,4.83,4.86,2.95,663
1.01,VeryGood,F,SI1,63.5,57,6.38,6.31,4.03,5713
0.9,Premium,H,SI2,59.5,60,6.32,6.29,3.75,2927
0.7,Ideal,H,VVS1,60.3,56,5.77,5.82,3.49,3524
0.4,Ideal,F,SI2,61.8,53,4.77,4.74,2.94,688
1.53,VeryGood,J,VS1,59.5,60,7.55,7.65,4.52,7677
0.32,Ideal,E,VS1,59.9,55,4.49,4.46,2.68,972
0.73,Ideal,H,VS2,62.7,55,5.72,5.76,3.6,2793
0.5,Premium,E,VS2,61.4,59,5.13,5.09,3.14,1746
1.59,Good,F,SI2,63.6,57,7.43,7.39,4.71,9100
0.3,Fair,D,SI2,64.6,54,4.29,4.25,2.76,536
1.09,Ideal,H,SI1,61.4,56,6.61,6.64,4.07,6970
1.04,Ideal,G,SI2,62,57,6.6,6.53,4.07,4277
0.38,VeryGood,H,SI1,63.3,57,4.62,4.58,2.91,812
1.09,VeryGood,G,VS1,62.5,59,6.54,6.57,4.1,6827
0.38,VeryGood,D,VS2,63.1,55,4.6,4.59,2.9,1005
0.4,Good,G,VS1,59.6,61,4.8,4.86,2.88,820
0.7,VeryGood,E,SI2,59.5,56,5.79,5.81,3.45,2281
0.7,Ideal,F,VS1,61.6,56,5.65,5.72,3.5,3399
1.06,Ideal,F,SI1,62.1,57,6.53,6.51,4.05,5758
0.53,Ideal,H,IF,62,54,5.22,5.27,3.25,1949
0.54,Premium,G,SI2,61.4,59,5.21,5.24,3.21,1090
1.01,VeryGood,G,VVS2,63.2,59,6.35,6.27,3.99,7267
1.05,VeryGood,D,VS2,62.9,57,6.39,6.51,4.06,6373
0.53,Ideal,H,VS2,61.4,55.4,5.19,5.24,3.2,1417
0.71,VeryGood,G,VS2,63.5,57,5.61,5.64,3.57,2454
0.33,Ideal,G,SI2,61.4,54,4.44,4.48,2.74,463
0.54,Ideal,I,IF,61.6,53,5.26,5.3,3.25,1647
0.73,VeryGood,E,VS1,60.9,61,5.79,5.81,3.53,3370
0.55,VeryGood,D,SI1,60.7,58,5.24,5.3,3.2,1692
0.26,Premium,F,VS1,59.5,58,4.18,4.22,2.5,452
0.72,Premium,G,VS2,62.9,57,5.73,5.65,3.58,2795
1.51,Premium,J,SI1,60.6,57,7.46,7.38,4.5,7255
0.33,Ideal,H,VVS2,61.9,55,4.47,4.45,2.76,854
1.22,Ideal,H,VS1,61.9,54,6.88,6.9,4.26,8411
0.36,Premium,H,VS1,61.6,59,4.57,4.52,2.8,810
0.9,VeryGood,I,SI1,62.3,58,6.12,6.17,3.83,3580
1.01,Ideal,H,SI2,59.1,59,6.58,6.61,3.9,5828
0.7,Good,D,VS2,64.1,59,5.56,5.49,3.54,3033
1.55,VeryGood,H,SI1,61.6,54,7.41,7.47,4.58,9818
0.71,Premium,D,SI2,59.7,60,5.84,5.79,3.47,2235
0.34,Ideal,I,VVS1,61.8,56,4.47,4.5,2.77,626
1.09,VeryGood,D,SI2,59.2,63,6.67,6.71,3.96,4244
0.32,Ideal,F,VS2,61.5,55,4.4,4.42,2.71,645
0.36,Premium,F,VS2,60.5,60,4.61,4.55,2.77,932
0.75,Premium,D,SI1,61.3,59,5.89,5.82,3.59,2484
0.31,Ideal,D,VVS2,60.9,57,4.42,4.38,2.68,997
0.91,VeryGood,E,SI1,63.1,58,6.17,6.12,3.88,4434
1.01,VeryGood,G,VVS1,61.8,59,6.47,6.41,3.98,8373
0.92,Ideal,H,VS2,60.8,58,6.27,6.32,3.83,4639
0.7,VeryGood,F,VS2,62.4,57,5.63,5.69,3.53,2362
1.17,Premium,G,VS1,62.4,56,6.81,6.75,4.23,7564
0.7,Premium,G,VS2,59.4,59,5.79,5.76,3.43,2657
1.24,Ideal,G,VVS2,61.2,56,6.88,6.92,4.22,9362
0.31,VeryGood,I,VS1,62.8,55,4.31,4.35,2.72,489
1.03,Premium,E,VS1,61.4,58,6.52,6.58,4.02,7677
1.37,Premium,H,VS2,62.5,59,7.12,7.05,4.43,8562
0.74,Ideal,J,VS1,61.6,57,5.77,5.83,3.57,2154
0.31,Premium,E,SI1,59.3,59,4.42,4.48,2.64,544
1.01,Fair,H,SI1,64.4,59,6.22,6.17,3.99,3482
0.39,VeryGood,G,VS1,62.4,57,4.62,4.68,2.9,855
0.33,Premium,E,SI1,60.9,58,4.5,4.46,2.73,743
0.71,Ideal,G,SI1,61.6,57,5.73,5.76,3.54,3007
0.41,Ideal,I,VS1,60.9,53,4.85,4.8,2.94,969
0.34,Ideal,G,IF,60.7,57,4.51,4.55,2.75,974
1.07,Ideal,G,VS1,62,56,6.58,6.52,4.06,7198
1.03,Ideal,H,SI2,61.1,57,6.55,6.52,3.99,4384
0.56,Ideal,D,SI1,62.5,56,5.26,5.24,3.28,1814
0.33,Ideal,G,VS1,60.1,55,4.55,4.5,2.72,854
1.26,VeryGood,G,VVS2,60.9,56,6.95,7.01,4.25,10020
1.04,Premium,E,SI2,60.1,60,6.53,6.51,3.92,4436
1.19,VeryGood,G,VVS2,61.8,59,6.75,6.77,4.18,8689
1,Good,F,SI2,61.8,58,6.43,6.48,3.99,4053
0.32,Ideal,G,VS2,62.1,56,4.4,4.36,2.72,672
0.32,Ideal,F,VS2,61.6,55,4.4,4.43,2.72,645
0.33,Premium,H,VS1,62.1,59,4.46,4.43,2.76,743
0.32,Premium,D,SI1,62.2,60,4.37,4.34,2.71,706
0.37,Premium,E,VVS2,60.9,59,4.65,4.61,2.82,1082
0.61,Ideal,D,SI2,59.9,57,5.55,5.53,3.32,1690
0.56,Ideal,H,VS1,61.8,55,5.29,5.33,3.28,1770
1.05,Ideal,G,SI1,61.9,56,6.51,6.55,4.04,5361
0.35,Ideal,E,VS2,61.7,55,4.54,4.57,2.81,767
1.02,VeryGood,E,VS2,62.8,59,6.39,6.44,4.03,5565
1.15,VeryGood,G,VVS2,63.2,58,6.68,6.61,4.2,9068
0.23,VeryGood,H,VVS2,62,55,3.93,3.95,2.44,378
0.7,VeryGood,D,VS2,61.8,55,5.68,5.72,3.52,2767
0.4,Good,G,VS1,63.4,56,4.68,4.72,2.98,783
0.72,Ideal,E,VS1,61.1,57,5.78,5.81,3.54,3947
1.15,Premium,G,VS2,61.5,58,6.76,6.71,4.14,6492
0.38,Ideal,F,VVS2,62.7,56,4.61,4.64,2.9,1033
0.34,Ideal,H,VS1,62.2,55,4.47,4.49,2.79,620
0.33,Ideal,E,VVS2,60.7,55,4.49,4.5,2.73,898
0.3,Ideal,G,SI1,61.2,56,4.33,4.36,2.65,487
0.72,Premium,D,SI2,60.5,58,5.88,5.79,3.53,2670
1.5,Ideal,I,VS1,62,53,7.4,7.35,4.57,9618
0.9,Ideal,H,VS1,60.9,57,6.2,6.24,3.79,4201
1.04,Good,F,VS2,63.7,58,6.43,6.34,4.07,6727
1.54,VeryGood,I,SI2,59.4,61,7.49,7.56,4.47,7589
1.01,Premium,G,SI1,62.1,56,6.42,6.36,3.97,4805
0.5,Ideal,D,SI2,62.3,54,5.11,5.06,3.17,1250
0.32,Ideal,E,VS2,62.1,55,4.42,4.4,2.74,900
0.7,Premium,F,SI2,60.6,57,5.81,5.74,3.5,1806
0.3,Ideal,G,VVS2,61.5,55,4.3,4.32,2.65,684
0.33,Premium,H,IF,62.9,58,4.43,4.38,2.77,1010
1.58,Premium,J,VVS2,61,58,7.56,7.49,4.59,7592
0.37,VeryGood,E,VS2,63,58,4.53,4.58,2.87,811
0.31,Premium,H,VS2,62.2,59,4.38,4.34,2.71,628
0.42,Ideal,E,SI1,62.3,57,4.8,4.76,2.98,992
0.23,Ideal,J,VS1,62.8,56,3.93,3.9,2.46,340
0.51,Ideal,D,SI1,61.7,55,5.16,5.11,3.17,1687
0.7,Ideal,D,VS2,60.3,60,5.71,5.76,3.46,2991
0.24,VeryGood,E,VVS2,62.1,59,3.95,4,2.47,471
0.79,Premium,E,VS2,60.6,53,6.04,5.98,3.64,2876
0.34,VeryGood,G,IF,59.4,56,4.59,4.63,2.74,917
0.51,VeryGood,E,SI1,61.4,58,5.09,5.14,3.14,1284
0.74,Premium,D,VS2,62.4,57,5.8,5.74,3.6,2855
0.37,VeryGood,F,VS2,59.2,61,4.63,4.69,2.76,696
0.52,VeryGood,G,VVS1,62.3,55,5.13,5.15,3.2,2040
1.01,Good,D,VS1,61.1,56,6.36,6.43,3.91,6612
0.33,Premium,G,IF,59.4,59,4.54,4.49,2.68,1094
1.21,Premium,H,SI1,62.5,58,6.75,6.72,4.21,5948
0.46,Premium,F,VVS1,61.4,57,4.99,4.95,3.05,1736
1.1,VeryGood,E,SI2,63.3,56,6.58,6.53,4.15,4140
0.84,Ideal,D,SI1,61.5,54,6.07,6.13,3.75,3265
0.34,Ideal,E,SI2,62.4,54,4.49,4.52,2.81,454
0.5,Ideal,E,VS2,61.3,55,5.13,5.15,3.15,1695
0.3,Ideal,E,VVS2,60.9,57,4.32,4.35,2.64,786
0.31,Ideal,G,SI1,61.6,55,4.37,4.39,2.7,627
1.18,Premium,E,SI2,62.5,60,6.74,6.7,4.2,5181
0.9,VeryGood,I,SI1,63.3,59,6.14,6.05,3.86,3251
1.21,VeryGood,I,SI2,62.1,59,6.8,6.86,4.24,4791
1.52,Premium,I,SI1,61.9,58,7.42,7.37,4.58,8631
0.38,Ideal,F,VS1,62,54,4.65,4.68,2.89,865
0.8,VeryGood,H,VVS2,62.9,56,5.9,5.96,3.73,3036
0.42,VeryGood,H,VVS1,60.9,62,4.8,4.86,2.94,1026
1.2,Ideal,D,SI2,61.7,56,6.88,6.81,4.22,6740
0.41,Ideal,I,VVS2,61.6,57,4.78,4.76,2.94,1061
0.53,Ideal,H,VS1,61.7,56,5.22,5.18,3.21,1607
0.4,VeryGood,D,SI2,63.4,59,4.7,4.67,2.97,798
1,Good,F,SI2,63.4,60,6.28,6.33,4,3801
0.34,Premium,F,VS2,62.6,58,4.46,4.49,2.8,686
0.7,Premium,G,VS2,62.1,58,5.68,5.63,3.51,2479
0.9,Ideal,H,VS1,62,56,6.22,6.19,3.85,4234
0.91,VeryGood,F,SI2,62.5,58,6.1,6.16,3.83,4334
0.52,Ideal,D,SI1,62.2,57,5.16,5.13,3.2,1720
1.2,VeryGood,G,SI1,63,57,6.7,6.75,4.24,5607
0.9,Premium,F,SI2,61.9,62,6.12,6.07,3.77,3210
0.3,Ideal,G,VVS2,61.5,56,4.31,4.34,2.66,684
0.76,Ideal,G,SI2,62.3,55,5.83,5.89,3.65,2489
1.02,Premium,H,VS2,61.7,58,6.45,6.41,3.97,5426
0.31,Good,H,VS2,63.1,58,4.27,4.32,2.71,489
0.33,Ideal,G,VS1,61.4,54,4.44,4.48,2.74,666
0.57,Ideal,F,VS1,61.8,55,5.33,5.35,3.3,2039
0.9,Ideal,D,SI1,62.1,57,6.18,6.25,3.86,4523
1.11,Good,D,SI2,60.1,63,6.68,6.7,4.02,4877
0.34,Ideal,E,SI1,62.2,54,4.5,4.47,2.79,714
0.35,Premium,E,SI1,60.7,59,4.57,4.52,2.76,788
1.35,Premium,H,SI1,62.4,58,7.03,6.95,4.36,7673
0.3,Ideal,E,VVS1,60,60,4.37,4.39,2.63,826
1.02,Premium,G,VS1,62,59,6.45,6.39,3.98,6238
0.71,Premium,G,VVS2,62.1,57,5.75,5.65,3.54,2832
0.3,VeryGood,G,VS2,62.6,62,4.21,4.25,2.65,491
0.4,Ideal,D,SI1,61.8,55,4.74,4.78,2.94,772
0.35,Ideal,G,VVS1,61,56,4.56,4.59,2.79,1028
1.2,VeryGood,H,SI1,60.8,58,6.8,6.85,4.15,6077
0.5,Good,G,VVS1,63.3,56,5.07,5.1,3.22,1966
0.51,Ideal,G,VS2,62.4,56,5.11,5.14,3.2,1438
1.01,Premium,F,SI1,61.8,59,6.41,6.34,3.94,4989
0.6,Premium,E,SI1,61.9,58,5.39,5.43,3.35,1738
0.53,Ideal,D,VS2,62.6,56,5.18,5.14,3.23,1956
1.27,Ideal,J,SI2,62.6,57,6.88,6.85,4.3,4779
0.33,Ideal,I,SI1,63,57,4.39,4.37,2.76,557
0.37,VeryGood,E,SI2,61.6,56,4.61,4.65,2.85,493
0.39,Ideal,H,VS2,60.6,55,4.81,4.76,2.9,983
0.51,Ideal,G,VS1,60.2,56,5.18,5.24,3.14,1632
1.21,Good,J,SI2,63.7,55,6.75,6.81,4.32,4192
0.8,Premium,E,SI1,61.5,58,5.97,5.93,3.66,3297
0.41,Premium,E,VS1,60.1,58,4.81,4.84,2.9,1079
0.52,Ideal,H,VS1,61.4,56,5.2,5.23,3.2,1408
0.3,Ideal,G,SI1,60.6,57,4.34,4.37,2.63,487
0.51,Ideal,D,SI2,59.8,55,5.23,5.17,3.11,1359
0.73,Ideal,D,SI2,62.4,56,5.77,5.74,3.59,2707
0.52,Ideal,G,VVS1,60.6,57,5.21,5.26,3.17,2387
0.8,VeryGood,H,VS2,61.2,53,5.98,6.05,3.68,2918
0.7,Ideal,G,SI1,61.9,58,5.66,5.69,3.51,2567
1,Good,H,SI1,61.6,61,6.29,6.35,3.89,4405
0.43,Ideal,G,VS1,61.2,57,4.83,4.88,2.97,880
0.3,Ideal,E,VS2,61.5,55,4.29,4.33,2.65,658
0.33,Ideal,H,VVS1,61.4,53,4.5,4.55,2.78,687
1.05,Premium,F,SI2,62.3,56,6.55,6.51,4.07,4363
0.91,VeryGood,G,SI1,63,57,6.14,6.2,3.89,3830
0.33,Premium,G,VVS2,60.6,58,4.5,4.47,2.72,965
1.02,VeryGood,F,VS2,63.3,59,6.4,6.37,4.04,6597
0.91,VeryGood,G,VS1,63.1,61,6.13,6.07,3.85,4536
0.43,Ideal,D,VS2,62,55,4.81,4.86,3,1056
0.4,Ideal,G,IF,61.1,56,4.76,4.79,2.92,1257
0.51,Ideal,E,VS2,61.6,55,5.16,5.19,3.19,2085
0.4,Ideal,D,VS1,60.6,56,4.82,4.78,2.91,1072
0.82,VeryGood,F,SI2,62.9,59,5.89,5.93,3.72,2643
0.7,Premium,F,SI1,59.4,59,5.8,5.75,3.43,2596
0.39,Premium,G,VVS1,59.9,59,4.73,4.75,2.84,1095
0.55,VeryGood,G,SI1,60.7,56,5.32,5.38,3.25,1141
0.42,VeryGood,D,SI1,60.2,57,4.85,4.89,2.93,756
1,Good,F,SI1,62.5,57,6.28,6.39,3.96,4504
0.32,Ideal,E,VS2,62.3,56,4.41,4.38,2.74,900
0.37,Premium,E,VS2,60.3,58,4.66,4.63,2.8,1041
0.3,VeryGood,G,VVS2,59.7,63,4.34,4.37,2.6,638
0.43,Ideal,F,SI1,61.8,56,4.87,4.84,3,1016
0.9,Good,E,SI1,63.5,55,6.12,6.22,3.92,3570
1.2,Ideal,G,VS1,62.4,57,6.78,6.8,4.24,8545
1,Good,H,VS2,63.6,57,6.35,6.26,4.01,4305
0.3,Premium,D,VS2,62.9,61,4.29,4.27,2.69,911
0.81,Ideal,G,VS1,61.6,56,5.99,6.02,3.7,3923
0.4,VeryGood,E,VS1,62.6,56,4.67,4.72,2.94,1053
1.01,VeryGood,F,VVS1,61.4,58,6.39,6.44,3.94,9810
1.1,Premium,G,VS2,59.6,60,6.72,6.7,4,6121
0.31,Good,I,SI1,63.8,55,4.34,4.31,2.76,523
0.9,Premium,D,SI1,61.5,58,6.21,6.15,3.8,4304
0.43,Ideal,E,VS1,61.2,56,4.89,4.94,3.01,981
0.32,Ideal,G,VS1,62.1,55,4.4,4.42,2.74,645
1.69,VeryGood,I,SI1,61.8,60,7.58,7.61,4.69,10497
0.36,Ideal,F,VS1,60.8,56,4.61,4.64,2.81,803
0.72,Ideal,H,VVS1,60.8,58,5.77,5.8,3.52,3180
1.03,Ideal,G,SI1,62.2,59,6.41,6.45,4,5684
0.42,Ideal,E,SI1,61.8,56,4.8,4.84,2.98,931
1.15,VeryGood,D,SI2,63.5,58,6.73,6.69,4.26,4939
0.3,Premium,G,VVS1,61.3,58,4.29,4.33,2.64,737
0.32,Ideal,E,VS2,62.6,53,4.38,4.37,2.74,900
0.72,Ideal,G,SI2,62.1,55.3,5.72,5.74,3.56,2089
0.3,Ideal,G,IF,61.7,55,4.34,4.31,2.67,956
0.37,Premium,E,SI1,59.9,59,4.7,4.68,2.81,833
0.51,Premium,G,VS1,61,58,5.2,5.16,3.16,1591
0.33,Ideal,E,VS1,60.2,57,4.52,4.48,2.71,1002
0.3,VeryGood,E,VVS1,63.5,57,4.27,4.23,2.7,995
1.01,Premium,D,SI1,62.6,58,6.44,6.33,4,5543
0.91,VeryGood,G,SI1,62.8,58,6.15,6.18,3.87,4045
0.52,VeryGood,E,VS1,63.4,54,5.08,5.11,3.23,1601
0.54,Ideal,I,VVS1,62.7,57,5.14,5.22,3.25,1564
0.43,Ideal,E,VS2,62.1,56,4.87,4.83,3.01,1048
0.42,Ideal,G,SI1,61.6,56,4.81,4.84,2.97,896
0.71,Ideal,E,VS2,62.2,56,5.7,5.75,3.56,3103
0.61,Ideal,D,VS2,61,57,5.49,5.53,3.36,2207
0.9,Ideal,D,SI1,61.9,55,6.22,6.18,3.84,4435
0.31,Premium,F,VS2,62,60,4.3,4.34,2.68,625
0.3,VeryGood,F,SI2,63.4,56,4.29,4.26,2.71,506
0.33,Premium,I,VS1,61.6,60,4.45,4.42,2.73,668
0.32,Good,I,SI1,63.9,55,4.34,4.36,2.78,432
0.9,Premium,I,VS2,61.9,59,6.2,6.14,3.82,2857
0.56,Ideal,G,SI1,61.6,59,5.27,5.32,3.26,1755
0.38,Premium,J,VS2,60.5,60,4.68,4.64,2.82,727
0.37,Ideal,E,SI1,62.7,54,4.6,4.55,2.87,833
0.33,Ideal,H,IF,61.6,55,4.44,4.47,2.74,820
0.36,Ideal,D,VS2,61.6,56,4.55,4.57,2.81,852
0.58,Ideal,D,VS1,61.4,57,5.41,5.34,3.3,2067
0.9,Premium,I,VS2,61.6,58,6.15,6.09,3.77,3478
0.71,Ideal,D,VS1,62.1,57,5.7,5.73,3.55,3801
0.32,Ideal,H,VVS1,62,54,4.39,4.42,2.73,708
0.56,Ideal,F,VS1,62.7,56,5.25,5.3,3.31,1787
0.36,Ideal,E,VS1,61.4,56,4.59,4.63,2.83,747
0.72,Ideal,D,SI1,61.6,55,5.75,5.8,3.56,2731
0.72,Ideal,F,SI2,62,55,5.75,5.79,3.58,2224
0.45,Ideal,F,SI1,60.8,56,4.97,4.93,3.01,930
0.31,Ideal,F,SI1,62.3,55,4.34,4.39,2.72,490
0.51,Premium,F,VS2,62.3,60,5.1,5.07,3.17,1574
0.82,Ideal,D,VS2,62.4,54,5.99,6.02,3.75,4327
0.34,Premium,F,VS2,61.2,59,4.52,4.47,2.75,880
0.37,Good,F,VS2,63.3,56,4.56,4.63,2.91,746
1.21,VeryGood,G,SI2,59.3,59,6.97,7,4.14,5364
0.38,Ideal,D,SI2,61.1,56,4.65,4.71,2.86,633
0.83,Ideal,G,SI1,61.8,57,6.03,6.07,3.74,2800
0.51,VeryGood,D,SI1,60.9,59,5.13,5.19,3.14,1569
0.9,Ideal,G,SI1,62.4,57,6.15,6.19,3.85,4059
1.05,Ideal,D,SI1,60,55,6.66,6.61,3.98,5104
0.71,Premium,H,VS2,61.3,58,5.76,5.82,3.55,2169
0.71,VeryGood,E,VS2,63.5,59,5.68,5.59,3.58,2858
0.41,Ideal,D,SI1,60.3,57,4.86,4.82,2.92,1015
1.01,Premium,H,VS2,61.6,59,6.45,6.47,3.98,5166
0.9,Ideal,H,SI2,62.8,55,6.18,6.11,3.86,3016
0.3,VeryGood,G,VS1,63.5,58,4.26,4.21,2.69,725
0.7,Ideal,I,SI1,59.9,59,5.75,5.8,3.46,2083
0.34,Premium,G,SI2,62.8,59,4.47,4.45,2.8,574
0.9,VeryGood,F,SI1,61.1,56,6.23,6.3,3.83,3893
0.3,Ideal,F,VS1,61.9,55,4.28,4.3,2.66,673
1.13,Ideal,H,SI2,62.1,55,6.65,6.68,4.14,4932
0.41,Good,J,VS2,64,59,4.64,4.71,2.99,565
0.76,Ideal,D,SI1,62.3,55,5.81,5.84,3.63,3732
0.4,Premium,H,SI1,62.8,59,4.69,4.67,2.94,855
1.01,Good,E,SI1,63.3,55,6.37,6.42,4.05,5499
1.6,Ideal,H,SI2,62.1,56,7.43,7.51,4.64,9275
1.05,Ideal,G,VS1,62.5,56,6.48,6.54,4.07,7037
0.35,VeryGood,G,VVS2,62.4,56,4.47,4.53,2.81,798
1.1,Premium,F,VS2,61.1,57,6.71,6.65,4.08,7115
1.01,Premium,H,SI1,59.8,60,6.48,6.52,3.89,4559
0.71,VeryGood,E,VS1,62.1,60,5.65,5.71,3.53,3192
0.3,Ideal,F,VS2,62.5,54,4.29,4.32,2.69,573
0.52,Premium,G,VS1,62.4,59,5.13,5.16,3.21,1689
1.01,Premium,H,SI2,61.1,60,6.46,6.41,3.93,3054
0.7,Ideal,F,SI1,62.6,55,5.67,5.7,3.56,2410
0.8,Premium,F,VS2,62.4,59,5.92,5.85,3.67,3285
1.01,Good,E,VVS2,63.9,58,6.31,6.37,4.05,8415
1.21,VeryGood,E,SI1,61,60,6.83,6.88,4.18,5885
0.9,Good,F,VS2,63.8,55,6.09,6.13,3.9,4309
0.32,Ideal,D,VS2,62.5,56,4.38,4.45,2.76,758
1.52,Ideal,J,VVS2,62.6,58,7.32,7.34,4.59,9541
1.02,Ideal,J,VVS2,62.7,57,6.45,6.37,4.02,3451
0.56,VeryGood,G,VS2,63.4,58,5.23,5.28,3.33,1590
0.39,Ideal,F,SI1,62.5,55,4.63,4.68,2.91,718
1.1,VeryGood,E,SI2,60.9,60,6.61,6.66,4.04,4539
0.41,Premium,F,VVS2,61,59,4.83,4.77,2.93,1192
0.56,Ideal,G,VVS2,62.6,53,5.27,5.31,3.31,2148
0.32,Premium,E,SI2,61.2,58,4.44,4.39,2.7,576
0.57,Ideal,E,SI1,61.9,56,5.35,5.32,3.3,1728
0.32,Ideal,H,IF,61.8,55,4.42,4.45,2.74,814
0.32,Premium,G,VS1,61.4,58,4.4,4.36,2.69,828
0.65,Premium,E,SI2,62.6,59,5.54,5.49,3.45,1827
0.8,VeryGood,G,VVS2,62.5,56,5.95,5.98,3.73,4002
0.46,Ideal,J,VVS1,61.8,56,4.97,4.93,3.06,1018
1.35,Premium,H,VS2,61.5,58,7.09,7.15,4.38,7918
0.5,Premium,E,VS2,62.6,58,5.12,5.07,3.19,1676
0.31,Ideal,F,VS2,61.6,55,4.38,4.39,2.7,757
0.31,Ideal,D,SI2,62.1,57,4.32,4.34,2.69,462
1.68,Ideal,G,VS2,62.1,55,7.64,7.59,4.73,10838
0.33,Premium,H,VS1,61.5,58,4.39,4.46,2.72,579
0.32,VeryGood,H,SI1,61.9,58,4.34,4.38,2.7,449
0.74,Ideal,I,VVS1,60.8,57,5.85,5.89,3.57,2822
0.63,Ideal,I,VS2,62.1,54,5.51,5.54,3.43,1423
0.35,Ideal,D,VS2,60.5,56,4.6,4.63,2.79,707
1.01,Ideal,E,SI1,62.6,57,6.43,6.38,4.01,5599
0.31,Ideal,E,VS1,61.9,56,4.34,4.32,2.68,942
0.34,Ideal,I,VS1,62.6,56,4.47,4.44,2.79,689
0.43,Ideal,D,VS2,60.7,57,4.91,4.88,2.97,1129
1.5,Good,J,VS2,63.6,58,7.23,7.2,4.59,7308
0.56,Premium,E,VS2,61.8,59,5.34,5.27,3.28,1915
1.1,Ideal,F,VS1,61.5,55,6.69,6.64,4.1,8796
0.37,VeryGood,H,VVS2,62.2,59,4.54,4.56,2.83,746
0.34,Ideal,F,IF,61.9,55,4.49,4.52,2.79,1276
1.02,Ideal,G,VVS2,62.7,57,6.41,6.45,4.03,8401
0.76,Ideal,G,VS2,61.7,54,5.88,5.92,3.64,2954
0.31,Premium,E,VS1,61,60,4.35,4.37,2.66,636
0.2,Premium,E,SI2,60.2,62,3.79,3.75,2.27,345
0.38,Ideal,D,VVS1,61.6,55,4.66,4.69,2.88,1992
0.77,Premium,F,VS1,59.5,58,5.96,5.94,3.54,3211
1.2,Ideal,D,SI1,61.1,56,6.86,6.89,4.2,9317
0.41,VeryGood,H,VVS2,62.2,58,4.71,4.74,2.94,899
1.26,Premium,F,VS1,62,58,6.95,6.88,4.29,10669
1.18,Premium,G,VVS2,61,58,6.79,6.84,4.16,7881
0.33,Premium,G,VS2,62.6,58,4.41,4.44,2.77,579
0.3,VeryGood,E,VS2,61.9,61,4.28,4.32,2.66,658
0.4,Ideal,H,VVS2,61.4,55.7,4.72,4.77,2.92,905
1.16,VeryGood,I,SI1,62.9,58,6.64,6.69,4.19,4586
0.7,VeryGood,F,SI1,59.4,59,5.75,5.8,3.43,2573
1.4,Ideal,H,SI2,61.2,56,7.18,7.23,4.41,7084
1.12,Premium,H,SI2,61,56,6.68,6.65,4.07,4077
0.84,Ideal,H,SI2,59.9,59,6.13,6.2,3.69,2593
0.56,Ideal,F,VS2,61.6,55,5.32,5.29,3.27,1814
0.41,Good,E,SI1,63.5,57,4.69,4.73,2.99,755
0.36,Ideal,G,SI1,62.7,55,4.59,4.54,2.86,689
0.35,Ideal,F,VS1,61.4,55,4.54,4.58,2.8,923
0.33,Ideal,G,VVS1,61.7,56,4.45,4.47,2.75,868
0.7,Premium,D,SI2,63,56,5.67,5.64,3.56,2239
1.5,VeryGood,F,SI1,63,55,7.27,7.31,4.59,10372
0.57,VeryGood,E,SI2,61.2,57,5.31,5.35,3.26,1315
0.72,Ideal,I,VS2,61.8,56,5.72,5.77,3.56,2650
0.74,VeryGood,G,SI2,63.8,56,5.7,5.74,3.65,2423
1.04,Good,J,SI2,64.2,59,6.47,6.38,4.13,3425
1.07,Ideal,G,SI1,62.2,56,6.52,6.56,4.07,5551
1.05,Premium,E,SI2,62.2,59,6.51,6.44,4.03,3886
0.31,Ideal,E,VVS1,61.8,56,4.34,4.36,2.69,924
0.34,Good,F,SI2,63.9,56,4.4,4.43,2.82,417
0.55,Ideal,E,VS2,61.4,56,5.26,5.32,3.25,1667
0.73,Ideal,H,VVS1,62.1,56,5.75,5.8,3.59,3220
0.7,Good,E,SI1,63.3,60,5.56,5.59,3.53,2569
0.95,VeryGood,J,VS1,62.4,57,6.25,6.29,3.91,3365
1.03,Ideal,D,VS1,61.5,57,6.48,6.52,4,8742
1.53,Premium,I,SI1,62.9,59,7.36,7.32,4.62,8911
1.09,Good,F,SI2,60.3,61,6.64,6.69,4.02,4698
0.71,Good,H,VVS2,60.4,63,5.69,5.74,3.45,2738
0.38,Ideal,F,SI1,60.9,55,4.7,4.72,2.87,844
0.3,Premium,H,SI1,62.9,58,4.28,4.24,2.68,554
1.07,Ideal,G,VVS1,60.9,56,6.6,6.67,4.04,8895
1.14,Premium,F,SI1,62.5,59,6.65,6.67,4.16,5135
0.31,Ideal,D,SI1,61.8,56,4.34,4.37,2.69,571
